Location,V,X,Y,Z
1  ,2.035e+06  ,-0.01496253  ,-0.00002033  ,0.50999999
2  ,1.858e+06  ,-0.01384472  ,0.00000000  ,0.50997585
3  ,1.645e+06  ,-0.01261007  ,-0.00002003  ,0.50999999
4  ,1.457e+06  ,-0.01146286  ,0.00000000  ,0.50997663
5  ,1.274e+06  ,-0.01025971  ,-0.00005707  ,0.50999999
6  ,1.110e+06  ,-0.00911284  ,-0.00005599  ,0.50999999
7  ,9.455e+05  ,-0.00790517  ,-0.00001941  ,0.50999999
8  ,7.917e+05  ,-0.00672894  ,-0.00001926  ,0.50999999
9  ,6.423e+05  ,-0.00552336  ,-0.00002003  ,0.50999999
10  ,5.073e+05  ,-0.00434923  ,-0.00005723  ,0.50999999
11  ,3.648e+05  ,-0.00317300  ,-0.00005708  ,0.50999999
12  ,2.195e+05  ,-0.00199428  ,0.00000000  ,0.50997746
13  ,1.302e+05  ,-0.00081845  ,-0.00001942  ,0.50999999
14  ,1.722e+05  ,0.00035777  ,-0.00001927  ,0.50999999
15  ,2.010e+05  ,0.00153400  ,-0.00001911  ,0.50999999
16  ,3.477e+05  ,0.00273958  ,-0.00001989  ,0.50999999
17  ,4.869e+05  ,0.00391581  ,-0.00001974  ,0.50999999
18  ,6.242e+05  ,0.00509203  ,-0.00001958  ,0.50999999
19  ,7.680e+05  ,0.00629809  ,-0.00000000  ,0.50997841
20  ,9.125e+05  ,0.00744449  ,-0.00001927  ,0.50999999
21  ,1.078e+06  ,0.00864797  ,-0.00005740  ,0.50999999
22  ,1.245e+06  ,0.00982420  ,-0.00005725  ,0.50999999
23  ,1.414e+06  ,0.01097317  ,-0.00001881  ,0.50999999
24  ,1.601e+06  ,0.01214939  ,-0.00001866  ,0.50999999
25  ,1.799e+06  ,0.01331934  ,-0.00013056  ,0.50999999
26  ,2.004e+06  ,0.01452911  ,-0.00005663  ,0.50999999
